sample_id,CC,Temp,RMS_mean,RMS_std,Hardness,RS_mean,RS_std,P_RMS_gt_700
hardSample_001,25,30,270.11889,19.99221,480,22.28333,33.73767,0.0
hardSample_002,25,30,225.03361,21.15115,480,26.83333,18.30685,0.0
hardSample_003,25,250,238.51833,28.44906,440,32.26667,11.95159,0.0
hardSample_004,25,250,280.35778,26.06351,440,30.35,27.67465,0.0
hardSample_005,25,375,683.24167,26.30516,380,41.075,12.21632,0.26203836499314914
hardSample_006,25,375,689.50833,35.80222,380,32.96667,12.35273,0.38474378775526186
hardSample_007,25,550,849.53861,29.28214,340,7.99167,8.29726,0.9999998361869755
hardSample_008,25,550,859.35333,32.50889,340,6.6,10.03467,0.9999995252807177
hardSample_009,25,625,1125.31556,25.89053,260,20.7,5.51345,1.0
hardSample_010,25,625,1104.71556,27.09922,260,19.86667,3.96217,1.0
hardSample_011,34,30,59.13417,3.85743,550,6.59167,25.0402,0.0
hardSample_012,34,30,58.885,4.64832,550,12.2,31.7795,0.0
hardSample_013,34,250,93.81667,10.07869,450,15.99167,18.19328,0.0
hardSample_014,34,250,93.96,7.24078,450,-7.375,30.61206,0.0
hardSample_015,34,375,525.88528,30.45549,420,-0.70833,7.75951,5.420339954653741e-09
hardSample_016,34,375,492.87278,27.11496,420,-9.26667,13.08068,1.0880185641326534e-14
hardSample_017,34,550,685.03556,26.33103,350,3.075,5.691,0.2849089919131379
hardSample_018,34,550,652.50667,37.6972,350,3.6,2.09415,0.10385928634990638
hardSample_019,34,625,792.49472,42.57292,280,25.475,4.09881,0.9850954845033875
hardSample_020,34,625,751.54028,54.28908,280,13.61667,4.59304,0.8287830948661892
hardSample_021,42,30,66.63528,2.34627,600,-6.1,23.88834,0.0
hardSample_022,42,30,61.54444,8.81437,600,0.9,15.10858,0.0
hardSample_023,42,250,99.10417,5.2306,470,12.3,9.08675,0.0
hardSample_024,42,250,96.16861,5.687,470,-11.66667,23.85697,0.0
hardSample_025,42,375,496.42556,25.33569,450,12.84167,8.97202,4.440892098500626e-16
hardSample_026,42,375,526.7375,24.84474,450,7.075,11.41483,1.5423218258092675e-12
hardSample_027,42,550,635.89333,19.16387,360,5.85833,5.00953,0.0004111400999259329
hardSample_028,42,550,627.52111,25.9248,360,2.75833,4.99044,0.002589086055531986
hardSample_029,42,625,744.915,30.87143,280,26.58333,2.73424,0.9271522278661148
hardSample_030,42,625,738.23694,52.28928,280,24.76667,4.44345,0.7676891268033201
hardSample_031,50,30,70.34361,4.6859,660,78.79167,23.38937,0.0
hardSample_032,50,30,69.62139,3.92493,660,83.78333,22.99568,0.0
hardSample_033,50,250,93.86194,6.71735,600,41.09167,18.43817,0.0
hardSample_034,50,250,84.95389,8.94298,600,67.64167,14.5766,0.0
hardSample_035,50,375,443.97111,17.68168,510,47.00833,9.22688,0.0
hardSample_036,50,375,420.17611,40.4775,510,45.95833,8.06682,2.371325358296872e-12
hardSample_037,50,550,534.06667,31.71513,450,6.6,6.39346,8.384616800860556e-08
hardSample_038,50,550,523.17944,29.37695,450,6.975,9.10026,8.773606285927826e-10
hardSample_039,50,625,729.31389,31.3857,340,22.325,3.3347,0.8248451460768614
hardSample_040,50,625,644.09889,33.87685,340,23.30833,4.16161,0.04945846623579997
