sample_id,CC,Temp,RMS_mean,RMS_std,Hardness,Hardness_mean,Hardness_std,RS_mean,RS_std,P_RMS_gt_700
spindleSample_001,25,30,279.85121,19.47361,500,500.0,15.00,22.62490,29.14488,0.0000000249547974
spindleSample_002,25,30,244.34038,22.00003,460,460.0,13.80,22.90924,20.73158,0.0000000056828235
spindleSample_003,25,250,261.03652,30.30458,420,420.0,12.60,29.30832,11.21891,0.0000000113943882
spindleSample_004,25,250,310.93383,27.99316,460,460.0,13.80,29.93438,26.72921,0.0000000911198093
spindleSample_005,25,375,703.93244,23.42511,370,370.0,11.10,38.05643,11.19714,0.5408714951040714
spindleSample_006,25,375,695.17157,31.89121,360,360.0,10.80,31.29410,10.55411,0.4498727669624886
spindleSample_007,25,550,846.73670,28.55906,350,350.0,10.50,7.55848,9.13041,0.9977932588416449
spindleSample_008,25,550,895.71234,31.49508,330,330.0,9.90,11.25238,9.58469,0.999712695512653
spindleSample_009,25,625,1111.81919,25.68024,280,280.0,8.40,18.58174,6.20981,0.999999964691182
spindleSample_010,25,625,1120.00984,25.21966,250,250.0,7.50,17.93370,3.76639,0.9999999749003068
spindleSample_011,34,30,68.61588,3.90694,570,570.0,17.10,3.77907,26.91126,0.000000000003756
spindleSample_012,34,30,68.56556,4.88622,570,570.0,17.10,12.90117,28.12576,0.0000000000037481
spindleSample_013,34,250,109.31937,9.09541,470,470.0,14.10,12.77261,19.08551,0.0000000000204775
spindleSample_014,34,250,109.46581,7.91513,450,450.0,13.50,-7.40595,32.84052,0.0000000000206029
spindleSample_015,34,375,552.76729,26.93349,400,400.0,12.00,-1.73300,8.75724,0.0021617003657678
spindleSample_016,34,375,522.51419,26.64371,410,410.0,12.30,-4.82523,11.15361,0.0006137909249766
spindleSample_017,34,550,722.64626,23.79095,340,340.0,10.20,4.58476,5.85521,0.7198251209400233
spindleSample_018,34,550,645.07887,37.35860,340,340.0,10.20,9.11625,1.95397,0.0920898618885393
spindleSample_019,34,625,819.12315,39.76728,260,260.0,7.80,22.77071,4.66289,0.9930598290280525
spindleSample_020,34,625,747.99638,57.34329,270,270.0,8.10,19.26702,5.24444,0.8807812402566296
spindleSample_021,42,30,65.36400,2.09419,610,610.0,18.30,-0.80540,26.06331,0.00000000000328
spindleSample_022,42,30,62.31740,8.87460,580,580.0,17.40,-1.90703,15.56109,0.000000000002889
spindleSample_023,42,250,101.31020,4.64324,460,460.0,13.80,15.03500,8.11466,0.0000000000146672
spindleSample_024,42,250,102.06717,6.21353,460,460.0,13.80,-13.79312,20.35666,0.0000000000151372
spindleSample_025,42,375,491.84081,24.69522,470,470.0,14.10,9.91666,9.79453,0.0001710643447037
spindleSample_026,42,375,518.55425,21.95041,460,460.0,13.80,1.54511,12.79557,0.000520479482425
spindleSample_027,42,550,621.95411,19.50261,350,350.0,10.50,3.12498,5.73178,0.0372582460632056
spindleSample_028,42,550,620.15549,27.86284,340,340.0,10.20,0.50175,4.64535,0.0346613164680325
spindleSample_029,42,625,763.94305,34.39450,280,280.0,8.40,29.49843,2.37006,0.9348865318461299
spindleSample_030,42,625,766.71267,52.51983,270,270.0,8.10,30.24851,3.95463,0.9415686408000437
spindleSample_031,50,30,63.15183,4.44687,670,670.0,20.10,83.48032,24.55914,0.0000000000029912
spindleSample_032,50,30,64.33897,3.69978,660,660.0,19.80,80.31245,20.92968,0.0000000000031429
spindleSample_033,50,250,91.45985,6.55542,580,580.0,17.40,40.83992,16.30152,0.0000000000097297
spindleSample_034,50,250,79.46199,8.82098,610,610.0,18.30,65.63114,15.86573,0.0000000000059019
spindleSample_035,50,375,445.15907,17.34626,500,500.0,15.00,47.78960,9.60500,0.0000244618296073
spindleSample_036,50,375,415.38645,45.21906,530,530.0,15.90,47.20161,9.06378,0.0000070752699846
spindleSample_037,50,550,518.02116,29.56717,470,470.0,14.10,5.72552,6.78746,0.0005090517133629
spindleSample_038,50,550,508.32995,32.32650,440,440.0,13.20,1.03934,9.63236,0.000339990796812
spindleSample_039,50,625,761.65839,34.38552,360,360.0,10.80,25.66366,3.52330,0.9288462151001835
spindleSample_040,50,625,672.38402,33.24979,360,360.0,10.80,17.79901,3.77358,0.2403674699485148
